article_number,Current_Turn,Previous_Turns,Type_of_Thought/Belief
954,"A: I'm certain if I don't get this right, it means I am a total failure at work.","A: This project is really getting to me, there's so much riding on its success... B: So you're feeling like a lot is at stake with this one?",Core Belief
955,A: I think that I must perform perfectly in every aspect of my work or else I'm a complete failure.,"A: Recently, I've been staying late at work every day. B: Sounds like you've been putting a lot of pressure on yourself.",Intermediate Belief
956,"A: If I don't succeed in this new project, it'll show everyone I can't handle responsibilities.",A: I'm just always worried that I'm not doing enough at work. B: Do you feel like you have to prove your worth?,Intermediate Belief
957,"A: I just know something bad is going to happen if I go on this trip, I can feel it.","A: I've been so worried about this trip coming up... B: Do you have specific concerns, or is it a general feeling of anxiety?",Automatic Thought
958,"A: Every time I make a small mistake at work, I feel like I'm going to be fired. It's like I'm incapable of doing things right.",A: Work has been really stressful lately... B: Has something specific happened to make you feel that way?,Intermediate Belief
959,"A: Whenever I start a new project, I am immediately convinced it will be a disaster.",A: I'm about to start working on the new client's case. B: That sounds like a great opportunity!,Automatic Thought
960,"A: No matter how positive I try to be, I always end up thinking that people are judging me.",A: I started my new yoga class today. B: That’s good. How did it go?,Automatic Thought
961,I just feel like something bad is going to happen today.,A: I've got this weird feeling in my stomach... B: Are you worried about something specific?,Automatic Thought
962,"B: Maybe you're just overthinking things, and you're projecting your stress onto this situation.","A: Everyone seems to get promoted except for me, no matter how hard I work. B: Do you think there might be a reason for this pattern?",Automatic Thought
963,"Every time I make a mistake at work, I feel like I'm going to get fired.",A: I accidentally sent out an email with an error... B: It happens to everyone now and then.,Automatic Thought
964,I just think I'm truly not cut out for handling relationships.,A: I've had another argument with my partner... B: What do you believe is the common theme in these disputes?,Intermediate Belief
965,"I always mess things up, this is going to be another disaster.","A: I just spilled coffee on my presentation notes... B: That's unfortunate, but you can still go on without those notes.",Automatic Thought
966,"I feel like a failure, I'll never be successful in my career.","A: I've been passed over for promotion again... B: That's disappointing, but there may be other opportunities ahead.",Intermediate Belief
967,"A: Every time someone laughs in the office, I feel like they're laughing at me.",A: I can't shake off this nervous feeling at work... B: Are people saying things or is it just a general feeling?,Automatic Thought
968,"A: If I confront my coworker, it will just confirm that I'm an oversensitive person.",A: My coworker made a hurtful joke about me yesterday... B: Have you thought about bringing it up with them?,Intermediate Belief
969,"A: If I don't get this project done on time, my team will think I'm not capable.","A: The deadline for the project is coming up fast, and I am very behind... B: Have you tried asking your team for help?",Intermediate Belief
970,A: I should be able to handle this without getting stressed; I'm an experienced professional.,A: I've been working in this field for over a decade... B: Are the current challenges making you doubt your abilities?,Intermediate Belief
971,"A: I'm such an idiot, I can't believe I messed that up.","A: I made a mistake in my presentation today... B: Don't worry, everyone makes mistakes sometimes.",Automatic Thought
972,"A: If I can't do this job, it's because I am not smart enough.","A: I am struggling with this new project... B: It's okay, it's a complex task, maybe you just need a bit more time to get the hang of it.",Intermediate Belief
973,"A: When things get tough, I usually start thinking I'm not smart enough to figure it out.",A: I just don't know what to do when new challenges come at work... B: Have you dealt with similar situations before?,Intermediate Belief
974,A: I should've seen that coming. I'm always the last one to understand the big picture.,"A: This project update completely caught me off guard... B: You're not alone, it was a surprise for us all.",Core Belief
975,A: I feel so overwhelmed; it's like everything is falling apart the second anything goes wrong.,"A: Today was just the worst, I couldn't get anything done right... B: Was there something specific that happened to trigger that feeling?",Automatic Thought
976,"A: Even when I'm surrounded by friends, I still feel completely alone.","B: Do you often feel lonely, even in social situations? A: Always, like I don't truly belong anywhere.",Core Belief
977,"A: Every time I start a new project, I'm certain it's going to be a total disaster.",A: I just got assigned to lead the next project at work... B: That's great news! Isn't it what you wanted?,Automatic Thought
978,A: Maybe I'm just not meant to be happy.,A: I’ve been feeling down no matter what I do... B: Have there been moments when you felt okay?,Intermediate Belief
979,"A: Every time I start a new project, I feel overwhelmed and convinced it'll turn out terribly.","A: I've got this big project at work, and I'm just stuck... B: What's holding you up?",Automatic Thought
980,"A: I always need to be in control, otherwise everything goes wrong.",A: I get anxious if I'm not the one planning the family gatherings... B: Does it bother you when others take the lead?,Intermediate Belief
981,"A: If I can't even get this right, I must be a total failure at everything.","A: I've been struggling to understand this new part of the project... B: You've solved tough issues before, though.",Intermediate Belief
982,"A: I feel like every time someone is upset, it must be because of something I've done.","B: I noticed you seemed very concerned when Sarah left early today. A: Yeah, I just start thinking if I’m the reason for her mood.",Core Belief
983,"A: Every time I make a mistake, it feels like I'm just worthless.",A: I messed up the presentation today... B: Maybe it wasn't as bad as you think?,Automatic Thought
984,"A: If I can't trust my friends, who can I trust? I guess I'm just not meant to have close relationships.",A: I just found out my friends went out without inviting me... B: Could there be a simple explanation for that?,Intermediate Belief
985,A: I'm convinced everyone at work dislikes me because I got that promotion.,A: I've been getting some weird vibes at work lately... B: What makes you say that?,Automatic Thought
986,"A: If I don't get this job, it means I'm not talented and I'll never be successful.",A: I'm really nervous for the job interview... B: You've got the skills they're looking for.,Intermediate Belief
987,B: Are you suggesting that being perfect is the only way to be happy?,"A: If I make a mistake, everyone will think less of me... A: I just can't shake the feeling that I need to be perfect.",Intermediate Belief
988,A: I guess deep down I feel like I'm not good enough for anyone.,B: Why do you think you put so much pressure on yourself during dates? A: It's just... I always mess things up and it reinforces the idea that I'm a failure.,Core Belief
989,"A: Even when I get a task done on time, I feel like it’s never performed to a high standard.",A: I keep pushing myself to work harder... B: It sounds like you always demand the best from yourself.,Intermediate Belief
990,"A: Whenever someone else takes the lead, I feel like I’m being judged on my own abilities.",A: I prefer to be in control of projects at work... B: Is it difficult for you to let others take charge?,Intermediate Belief
991,"A: Suddenly, my heart starts racing and I think 'I am going to have a panic attack.'",B: What happens when you have to speak in front of the group? A: It's terrifying.,Automatic Thought
992,"A: I just feel worthless, like I'm a failure at everything.","B: You seem very harsh on yourself, why is that? A: I've never met my own expectations.",Core Belief
993,"A: If I can't do this right, then what's the point of even trying?",A: I messed up again in the meeting today... B: Wasn't this your first time leading a project discussion?,Intermediate Belief
994,"A: I think if I don't get this job, it’s proof that I'm not really cut out for this industry.","A: I’m so nervous, I have a final interview tomorrow... B: You have a lot of great experience to offer them.",Intermediate Belief
995,A: I always screw things up; nothing I do turns out right.,"A: I'm stressed because my project at work isn't going well... B: But you've successfully completed projects before, right?",Automatic Thought
996,"A: At the core, I think I'm unworthy of love.",A: I've been reflecting on why my relationships don't last... B: Do you feel that there's something about you that pushes others away?,Core Belief
997,A: I'm just a failure. I can't seem to do anything right.,"A: Today I got passed over for a promotion again... B: That's tough, have you talked to your manager about why you were overlooked?",Core Belief
998,A: I feel like nobody would even notice if I were gone.,A: I've been really lonely lately... B: Have you reached out to any friends or family members?,Core Belief
999,"A: If I speak up in the meeting, I'll probably just end up looking stupid.",A: I always stay quiet during meetings... B: Have you thought about sharing your ideas more?,Intermediate Belief
1000,"A: Whenever I try to change, something always goes wrong. It's like I'm destined to stay the same.","A: I noticed you've been talking about wanting to make a change... B: Yes, but my past efforts have failed.",Intermediate Belief
1001,"A: If I can’t complete this work on time, my coworkers will think I’m incompetent.",A: The workload has been really overwhelming lately... B: Do you think your team will understand if you're a bit behind?,Intermediate Belief
1002,"A: Whenever I face a tough challenge, I worry that I might not be smart enough to solve it.",A: This new project seems harder than anything I've done before... B: Have you had similar challenges in the past that you've overcome?,Intermediate Belief
1003,I can't seem to do anything right; I mess everything up.,"A: Losing that game last night really got to me... B: We all have off days, you know?",Automatic Thought
1004,"If I can't hit my sales targets this month, it means I'm not cut out for this job.",A: Work has been so stressful with all the expectations. B: Meeting your sales targets has been tough this month?,Intermediate Belief
1005,"A: If one person criticizes me, it means everyone sees me as a failure.","A: I got some negative feedback today at work... B: Oh, that happens sometimes, was it constructive?",Intermediate Belief
1006,"A: If I can't do this on my first try, it shows I'm not talented at all.",A: I'm struggling with learning this new software... B: Isn't it normal to take time when learning something new?,Intermediate Belief
1007,"A: Whenever I start a new project, I feel like everyone is judging me and waiting for me to slip up.",A: I'm having trouble getting motivated at work... B: Have you encountered any problems with your colleagues or tasks?,Automatic Thought
1008,"A: Deep down, I guess I've always felt that I'm not worthy of love or success.",A: I can't shake off this feeling of worthlessness... B: Have there been recent events making you feel this way?,Core Belief
1009,"A: Every time something goes wrong, it's always my fault.",A: I just can't get anything right at work... B: What happened that makes you feel this way?,Automatic Thought
1010,"A: I must perform perfectly, or I'm a complete failure.","A: This project is really important for my career... B: It's natural to be a bit nervous, but you're well-prepared.",Intermediate Belief
1011,"A: Every time I start a new project, I get this feeling it's all going to come crashing down.",A: I'm struggling at work... B: Are there specific things triggering your stress?,Automatic Thought
1012,"A: Whenever someone doesn't text me back immediately, I assume they're ignoring me.",A: I've been feeling insecure in my friendships... B: Has something happened recently to make you feel this way?,Automatic Thought
1013,A: Everyone always leaves me because they find out I'm not worth sticking around for.,A: I just don't seem to have long-term friendships... B: Do you have any idea why friendships don't last?,Core Belief
1014,"A: I feel like if I don't do everything perfectly, I will be judged harshly by my coworkers.",A: The presentation tomorrow is making me nervous... B: Have you put in enough practice?,Intermediate Belief
1015,"A: I always seem to be the one left out, like I'm an afterthought to my friends.","A: Even when I make plans with friends, they often forget to call me... B: Do you feel like you're intentionally excluded?",Intermediate Belief
1016,"A: If I speak up in the meeting, I'll just end up saying something stupid.",A: I get nervous talking in front of colleagues... B: Is it because you're afraid of making mistakes?,Intermediate Belief
1017,"A: If I can't complete this task, they will all think I'm incompetent.",A: I really need to do well on this project. B: You're putting a lot of pressure on yourself.,Intermediate Belief
1018,"A: If I'm not successful in this role, it probably means I'm not cut out for this industry.",A: I've been struggling with the new job. B: There's a learning curve to every new position.,Intermediate Belief
1019,"A: Every time I'm running late, I feel like everyone is judging me.","A: This morning was hectic and I couldn't catch the bus on time... B: Sounds stressful, but probably no one noticed your late arrival.",Automatic Thought
1020,"A: I think if I don't reach all of my goals this year, it means I'm incapable and lazy.",A: I set some high targets for myself this year... B: That's ambitious! Have you been making progress?,Intermediate Belief
1021,A: Everyone laughs at me because I'm not as smart.,A: I can't seem to understand this topic at all... B: It looks like you might be struggling with this particular subject.,Intermediate Belief
1022,A: I feel like I do not deserve happiness after all my mistakes.,"A: I just can't stop thinking about the errors I've made in the past... B: It's normal to make mistakes, we're all human.",Core Belief
1023,"A: Whenever I speak up in meetings, I can see them looking at me like they wish I'd just be quiet.",A: Work's been so stressful lately. B: How come? A: I just don't think I'm as competent as my coworkers.,Automatic Thought
1024,"A: I must always work the hardest, or else I'm not worth anything.","A: Even when I was a kid, I had to be number one or I felt worthless... B: That's a tough way to measure yourself.",Core Belief
1025,"A: I can't shake the feeling that if I make a mistake at work, they’ll see I'm incompetent.",A: I’ve always been promoted quickly in my jobs... B: Sounds like you have a great track record at work.,Core Belief
1026,"A: Even when I'm surrounded by my friends, I feel so isolated and alone.","B: How do you feel when you're with people you like? A: I'm usually okay for a little while, but then... ",Core Belief
1027,A: I guess I just see myself as someone who can't be loved.,A: I'm always the one who cares more in the relationship. B: Sounds like you're feeling undervalued.,Core Belief
1028,"A: No matter how hard I work, I always feel like I'm not achieving enough.","A: I've been working overtime and even weekends... B: That sounds exhausting, have you had any time to rest?",Core Belief
1029,"A: Every time I speak up, people seem disinterested; it's so embarrassing.",A: I don't like going to those meetings... B: Why not? Haven't you been part of the team for a long time now?,Automatic Thought
1030,"A: No matter the effort I put in, I fear that I'll never be truly competent.",A: Work has been relentless recently... B: Do you feel you're not doing your job well?,Core Belief
1031,"A: Each time I start a new project, I feel like it's bound to be unsuccessful.","A: You know, all my past projects weren't received well... B: But haven't you learned from those experiences?",Intermediate Belief
1032,"A: Why bother trying? Every time I've tried before, something has gone wrong.",A: I'm thinking of signing up for a painting class. B: That sounds exciting! You always liked being creative.,Automatic Thought
1033,"A: If I don't succeed in this project, it means I am completely incompetent.",A: The deadline for the project is coming up and I’m really stressed. B: But you’ve always handled your projects well before.,Intermediate Belief
1034,"A: Ultimately, I feel like I'm just not cut out to be happy.",A: I rarely find joy in things that others seem to love. B: Has it been like this for you for a long time?,Core Belief
1035,"A: If I speak up, everyone will think I'm stupid and ignore me.",A: I just can't seem to voice my opinion during the meetings... B: Sounds like you're worried about the reaction you’ll get.,Automatic Thought
1036,A: I guess it's because I believe I'm fundamentally unlovable.,A: I'm always so scared of being left alone... B: Do you think there’s a deeper reason for that fear?,Core Belief
1037,"A: Whenever I make a mistake, I feel like a total failure and it's unbearable.",A: I accidentally sent the wrong file to my boss today... B: Did he say something about it?,Intermediate Belief
1038,"A: No matter how hard I work, I always end up believing that I am not competent.",A: I've been working late every night this week. B: How has that been making you feel?,Core Belief
1039,A: Maybe I'm not intelligent enough to understand this concept.,"A: I've been reviewing this material for hours, but it's just not clicking.
B: Don't be hard on yourself; it's a complex topic.",Intermediate Belief
1040,"A: I feel like if I can't get this job, I'm just not cut out for this career.","A: I've had three interviews this month and nothing has panned out.
B: It's a competitive field, but don't lose hope.",Intermediate Belief
1041,A: Everyone can solve problems better than me. I'm just not as clever as they are.,"A: I made so many mistakes on my work project... B: Everyone makes mistakes, though.",Intermediate Belief
1042,"A: If I don't get this job, it'll mean I am incompetent and can never succeed in my career.",A: I'm stressed about this final interview. B: You're well-qualified and have done great in previous rounds.,Core Belief
1043,They probably think I'm incapable. I mess up every time I speak.,"A: Every meeting, I feel like they question my competence... B: Have you received direct feedback about this?",Automatic Thought
1044,"B: If one relationship doesn't work, that means I'm destined to be alone forever.","A: You've had a tough break up recently. How are you holding up? B: I don't know, it's like I can't maintain a relationship.",Intermediate Belief
1045,"A: Even when things seem to go right, I feel like it won't last.","A: Just last week, everything was going okay at work... B: That’s a good thing, isn’t it?",Automatic Thought
1046,"A: I need to be in control, otherwise, things just fall apart. ",A: I started organizing the project early... B: So you're taking steps to keep on track.,Intermediate Belief
1047,"A: If I don't get this right, it's a disaster. Everything hinges on this presentation.","A: I've been working on this presentation for weeks now. B: And you've become quite the expert on this topic, right?",Automatic Thought
1048,A: I always end up alone at these events. It just confirms that I'm unlikeable.,A: Another work party next week... B: Are you not looking forward to it?,Core Belief
1049,A: I guess it just comes down to the feeling that I'm fundamentally unlovable.,A: Relationships never work out for me. B: Do you think there's a reason why that happens?,Core Belief
1050,"A: Deep down, I think I will always be alone because I am not interesting or worthwhile.",A: I don't really have any close friends. B: Are you feeling bad about yourself because of this?,Core Belief
1051,"A: If I don't get this project right, I'm convinced my career is over.",A: I've been struggling with this project at work... B: Isn't it just one project out of many you've done?,Automatic Thought
1052,"A: No one cares about what I have to say, so what’s the point in speaking up?","A: Every time I'm in a meeting, I feel like I'm just ignored... B: Has there been a time when your input was acknowledged?",Intermediate Belief
1053,"A: If I open up, people will think I'm weak and take advantage.",A: I tend to keep things to myself... B: Maybe it could be helpful to share what you're feeling.,Automatic Thought
1054,"A: I always mess things up, that's just who I am.","B: Everyone makes mistakes now and then... A: Maybe, but I seem to do it all the time.",Automatic Thought
1055,"A: Whenever I'm in a group, I just go silent. I feel like I'm too boring to contribute.","A: It’s my friend’s birthday tomorrow, there'll be a lot of people there... B: You always enjoy hanging out with your friends, don’t you?",Automatic Thought
1056,A: Relationships never work out for me; I must be unworthy of love.,A: I've just gone through another breakup... B: Sorry to hear that. Do you want to talk about what happened?,Core Belief
1057,A: It's just my luck to end up with the worst possible outcome.,A: This project just turned into a massive disaster out of nowhere... B: Did something specific happen to trigger this?,Automatic Thought
1058,"A: If I can't handle this task, my team will probably think I'm incompetent.","A: I've been assigned this new project at work, and it's really tough... B: Have you faced a similar challenge before?",Intermediate Belief
1059,A: Sometimes I think I don't have what it takes to be a good parent.,A: My child has been acting out a lot lately... B: That sounds really challenging. Have you been getting enough support?,Automatic Thought
1060,"A: If I'm not the very best on the team, I might as well not play at all.","A: I just got second place in the competition... B: That's an amazing achievement, congratulations!",Intermediate Belief
1061,"A: I just feel like if I don't succeed on this project, I'll never amount to anything.","A: Work has been brutal, this project is everything... B: Yeah, but remember your last project? You did great!",Intermediate Belief
1062,A: I guess it's just that the idea of being perfect is always stuck in my head.,"A: Even after a successful presentation, I find flaws... B: Sounds like you put a lot of pressure on yourself to be perfect.",Core Belief
1063,"A: I might mess up, but it's only because I'm just not competent.","A: This project at work is really stressing me out... B: You've handled projects like this before, right?",Core Belief
1064,"A: Deep down, I know I'll always be alone because I'm fundamentally unlovable.","A: It seems like every relationship I have just falls apart... B: Is it that you're picking the wrong people, or could there be another reason?",Core Belief
1065,"A: Every time someone laughs in the office, I am convinced they're laughing at me.",A: I just can't seem to relax at work... B: Seems like you feel pretty uncomfortable around your colleagues.,Automatic Thought
1066,A: I guess I avoid submitting my ideas because I already believe they won't be taken seriously.,"A: I always have these ideas at work, but I never share them... B: What makes you hold back?",Intermediate Belief
1067,"A: If I can't make everyone happy, then what's the point of even trying?",A: I just feel like I let people down no matter what. B: Sounds like you're carrying a huge burden.,Intermediate Belief
1068,A: I'm just completely worthless if I can't succeed in this job.,"A: I've been passed over for promotion again... B: That's tough, it's a very competitive environment, isn't it?",Core Belief
1069,"A: If I don't get this job, it's because I'm not skilled enough.",A: I'm worried I'll mess up this interview... B: You have so much experience though!,Intermediate Belief
1070,A: I always end up alone because I'm unlovable.,A: It seems like none of my relationships ever work out. B: Why do you think that's the case?,Core Belief
1071,"A: Whenever I start a new project, I end up thinking it's going to be a disaster.",A: I'm feeling overwhelmed with work... B: Have you tried breaking down the tasks to make it more manageable?,Intermediate Belief
1072,A: I'll be alone forever because I'm not interesting to anyone.,"A: I had another date that didn't go well... B: Don't be too hard on yourself, dating can be tough.",Core Belief
1073,"A: If I can't complete this task, my colleagues will think I'm incompetent.",A: I've got this really difficult task to do for the meeting tomorrow... B: Have you been able to make progress on it?,Intermediate Belief
1074,"A: Even when I finish my work on time, I feel like it's not what my boss is looking for.",A: My boss always sets really high standards for our team… B: Does it make you worry about your performance?,Intermediate Belief
1075,"A: Whenever my boss calls me in, I get this sinking feeling that I'm about to be fired.",A: I've been worried about work lately... B: Did something specific happen at work to trigger this?,Automatic Thought
1076,"A: Deep down, I think I'll never be successful, it's just not in my cards.",A: I'm not sure if I should apply for the promotion... B: You seem to doubt your capabilities a lot.,Core Belief
1077,"I'm just inherently unlovable, no one will ever truly care for me.","A: I just got dumped again... B: This was tough on you, but it doesn't mean something's wrong with you.",Core Belief
1078,"The world is a dangerous place, we’re all just one step away from disaster.","A: The news is always showing terrible things happening... B: Remember, the news often highlights the negative.",Core Belief
1079,A: Everyone's going to notice how nervous I am and think I'm weak.,A: I have a presentation today and I'm feeling so jittery... B: You've done presentations before and you always manage them well.,Automatic Thought
1080,"A: Deep down, I just feel like I'm a failure and that I'll never succeed.","A: I feel like no matter what achievement I get, it's never enough... B: Have you always felt this way about your accomplishments?",Core Belief
1081,A: I feel like a complete failure at everything.,"B: Hey, we all have rough days. You'll do better next time. A: No, this always happens; I never do things right.",Core Belief
1082,"A: I'm convinced I'm going to get fired, even though my boss hasn't said anything.","B: How was work today? A: Not great, I'm just waiting for the other shoe to drop.",Core Belief
1083,"A: I just feel utterly worthless, like I'm incapable of doing anything right.",A: I messed up the presentation today... B: Didn't it just have a few minor issues though?,Core Belief
1084,"A: If I don't get this job, it means I'm not talented enough.","A: I'm so stressed out about this job interview... B: You've got great qualifications, you'll do fine.",Intermediate Belief
1085,"A: If I'm not successful, it means I am worthless.",B: You shouldn't be so hard on yourself if things don't work out... A: But I've always believed I need to be successful to be valued.,Core Belief
1086,"A: I've always felt unwanted, like I don't belong anywhere.","B: That sounds like a profound feeling; can you tell me more? A: My whole life, I felt like my friends and even my family never truly wanted me around.",Core Belief
1087,A: I'm just useless at everything I try.,"A: I was so embarrassed when I got stuck during my presentation. B: Everyone gets nervous sometimes, it's natural.",Automatic Thought
1088,"A: If I'm not perfect, people will judge me and think I'm worthless.",A: Sometimes I don't even go to social events if I'm not feeling 100% confident. B: Do you think people will notice you're not feeling confident?,Intermediate Belief
1089,"A: I am definitely going to be ignored at the event, like I always am.",A: Social gatherings always make me nervous. B: Have people ignored you before at these events?,Automatic Thought
1090,A: Nobody could ever truly love me if they knew the real me.,A: I got into another fight with my partner today... B: Do you want to talk about what led to that?,Core Belief
1091,A: Sometimes I feel like one mistake will make everyone think I'm incompetent.,"A: I hate making presentations in front of the team... B: It’s normal to be nervous, but you always do well.",Intermediate Belief
1092,A: I just can't shake the feeling that today is going to be a disaster.,A: The weather looks a bit gloomy today... B: Gloomy weather doesn’t necessarily mean your day will go poorly.,Automatic Thought
1093,"A: Every time I start a new project, I end up thinking it'll be a disaster.",A: I've been struggling at work. B: Did something specific happen recently?,Automatic Thought
1094,"A: I feel so clumsy in social situations, I'm sure I come off as awkward.",A: I'm really not good at meeting new people. B: What makes you say that?,Automatic Thought
1095,"A: I'm just so clumsy, I spilled coffee everywhere again.","A: Can you believe I made a mess during the breakfast meet? B: Don't worry, it happens to the best of us.",Automatic Thought
1096,"A: If I don't get every detail perfect, the whole project will be a disaster.","A: I have to present my project next week and it's not ready... B: But you've been working on this for months, haven't you?",Intermediate Belief
1097,A: I can't seem to shake the feeling that everyone is judging me when I walk into a room.,"A: At the party last night, I felt so out of place... B: What about it made you uncomfortable?",Automatic Thought
1098,A: No one wants to listen to what I have to say; I'm not interesting.,"B: Did your friends say something to you? A: Not really, but I can just tell by how they act.",Intermediate Belief
1099,"A: I'm about to go into this interview, and I have this nagging feeling that I'm not qualified and they're going to see right through me.",A: I've got my final job interview today. It's for my dream job. B: But you've worked in this field for years and you're well-qualified!,Automatic Thought
1100,"A: The moment something small goes wrong, I spiral. I start to think I'm a total failure.","A: I messed up a small thing at work today. B: Everyone makes mistakes now and then, but it sounds like this really bothered you.",Automatic Thought
1101,"A: If someone doesn't text me back quickly, I start thinking they are ignoring me on purpose.",A: I get so anxious when I'm waiting for a reply to a text... B: Does this happen often with you?,Intermediate Belief
1102,"A: I feel like if I can’t do this perfectly, then it’s not worth doing at all.",A: This project is really stressing me out... B: Why? Because of the tight deadline?,Intermediate Belief
1103,I always mess things up in social situations.,"A: Lately, I just feel so awkward at parties. B: Is there a particular reason you feel that way?",Automatic Thought
1104,"If I can't do this perfectly, I'm a total failure.","A: This project has to be submitted by Friday, and it's not going well. B: It's important, but making mistakes doesn't make you a failure.",Intermediate Belief
1105,I always mess things up when I'm under pressure.,"A: Every time I get a chance to show my skills at work, I get this overwhelming sense of dread... B: Have you noticed a pattern in what triggers this feeling?",Automatic Thought
1106,"If I can't excel in this task, then I'm a complete failure.",A: This project is really important for my career advancement. B: How are you feeling about your abilities to manage it?,Intermediate Belief
1107,"A: It's just so overwhelming, I can't face going to work. I always mess things up there.","B: Have you felt like this before about work? A: Yes, and each time it gets harder.",Automatic Thought
1108,"A: If I'm not constantly productive, it proves I'm lazy.",A: I was relaxing over the weekend and now I feel guilty. B: Does taking a break make you worry?,Intermediate Belief
1109,A: I am always singled out for mistakes at work. It's like I'm destined to be a failure.,A: Another project got critiqued extensively in today’s meeting... B: Did others also receive feedback on their work?,Core Belief
1110,"B: You're always so supportive, why can't I see myself the same way you do?","A: You've shown so much progress in your work lately, you should be proud! B: I don't know, I don't feel like I've made any progress.",Core Belief
1111,A: I felt a pang of jealousy when I saw her with someone else. It made me feel so petty and small inside.,A: I can't shake off this awful feeling... B: What happened to trigger this feeling?,Automatic Thought
1112,"A: They say hi to everyone in the office except me. They just don't like me, I'm sure of it.",A: I've noticed something at work that really bothers me... B: What is it that's bothering you?,Automatic Thought
1113,"A: Whenever I make a small mistake, it feels like I'm totally incompetent.",A: Today I messed up a little bit at work... B: And how did that make you feel?,Automatic Thought
1114,"A: Deep down, I think I'm just unlovable and that's why I can't maintain relationships.","A: No matter how much effort I put into my relationships, they always seem to end... B: Do you see a common reason for these endings?",Core Belief
1115,I'm just a failure at everything I try.,A: I can't believe I messed up my presentation. B: Didn't you work really hard on it though?,Core Belief
1116,"I feel like if I'm not perfect, I am completely worthless.","A: My mom always told me that if I’m not the best, then I’m nothing. B: That sounds like a harsh way to grow up.",Core Belief
1117,"A: Whenever I'm in a group, I feel like nobody wants to hear what I have to say.",A: I find it hard to speak up during team meetings... B: Do you think that others don't value your input?,Automatic Thought
1118,"A: If I don't get this promotion, it just proves I'm not cut out for success.",A: I've been putting in extra hours to get noticed. B: You’ve really been dedicating a lot to this opportunity.,Intermediate Belief
1119,"A: Whenever I'm faced with a crowd, I just freeze up. I can't even think straight.","A: I really dread public speaking engagements... B: Have you always felt this way, even with small groups?",Automatic Thought
1120,"A: I feel like if I'm not the best, then I'm the worst—there's no in-between.",A: I always have to check my work several times before submitting it... B: It sounds like you put a lot of pressure on yourself to be perfect.,Intermediate Belief
1121,A: I touched the door handle and now I'm certain I'll get sick.,A: I can't stop worrying about germs everywhere. B: Are you taking precautions like washing your hands?,Automatic Thought
1122,"A: If I don't get every question right, then I've completely failed.","A: I have a big exam next week and I'm stressed. B: But you've been studying consistently, right?",Automatic Thought
1123,"A: Every time I start a new project, I can't help but think it's going to be a total disaster.",A: I'm just no good at managing projects... B: Really? But you've been handling projects for years with good reviews.,Automatic Thought
1124,"A: I got the feeling that if I don't answer all the questions correctly, the interviewer will think I'm incompetent.","A: I'm so worried about this job interview... B: You've worked hard and know your stuff, what's worrying you most?",Automatic Thought
1125,"A: I'm just always so clumsy, I managed to spill coffee all over my work again.","A: Can you believe I had another accident at work today? B: Oh no, what happened this time?",Automatic Thought
1126,"A: I feel like every time I try to speak up, my mind just goes blank and I panic.",A: I struggle with contributing during meetings. B: Do you find it stressful to talk in front of a group?,Automatic Thought
1127,"A: I always mess up relationships, I don’t think anyone could ever really love me.",A: My date didn't call me back after our night out... B: That's tough. Have you heard from them at all?,Core Belief
1128,"A: If I don’t finish this task, my boss is going to think I'm incompetent.",A: I am really behind on this project at work... B: What do you think will happen if you don't catch up?,Automatic Thought
1129,A: I'll always be alone because nobody could ever really love me.,"A: It's difficult. Even when I go out with friends, I feel isolated. B: Have you always felt this lack of connection with people?",Core Belief
1130,"A: Every time I make a small mistake at work, it feels like my boss will think I'm incompetent.",A: I'm so stressed about submitting this project. B: I'm sure you've done your best; it’s a difficult task for anyone.,Automatic Thought
1131,"A: Every time I get near a dog, I just start panicking.",A: I've had this irrational fear of dogs since I was a child... B: Sounds like something deeply ingrained.,Automatic Thought
1132,"A: If I can't excel in this task, then I'm an utter failure.","B: Don't be too harsh on yourself, it's just one task. A: Yeah, but it feels like it defines me.",Intermediate Belief
1133,A: They never invite me out. I must be really boring.,A: I saw a group of my colleagues going out after work and... B: Did they ask you to come along?,Automatic Thought
1134,"A: If I don't get this project right, I'll never be successful in my career.",A: My manager really emphasized the importance of this project for the company... B: So you feel like there's a lot riding on your performance?,Intermediate Belief
1135,"A: Whenever I make a mistake, I just feel like I'm worthless and incapable.","A: I messed up today at work and the boss wasn't happy... B: Everyone makes mistakes, you know?",Automatic Thought
1136,"B: So you believe if someone disagrees with you, it means they don't like you as a person?","A: I don't enjoy debates, I take things too personally. B: Have you always felt this way when faced with disagreement?",Intermediate Belief
1137,"A: Every time someone doesn't laugh at my joke, I feel like I'm the most uninteresting person in the room.","A: I tried to make some jokes in the party, but not many people laughed... B: Maybe it was just not the right audience for those jokes?",Automatic Thought
1138,"A: I feel that at my core, I am just unworthy of love or attention.",A: My relationships never seem to last long... B: Do you feel like there's a common reason for them ending?,Core Belief
1139,A: Everything in my life always goes wrong. It's inevitable.,A: It feels like I can never catch a break... B: Has it been a tough week again?,Core Belief
1140,"A: No one could possibly love me, I am completely unlovable.",A: My last relationship ended really poorly... B: What do you think went wrong?,Core Belief
1141,"A: Whenever I go to social events, I feel like people are judging me and it's unbearable.",A: I get nervous around new people... B: Is it stopping you from going out?,Automatic Thought
1142,A: I need to make sure everything is perfect or else it all falls apart.,A: I've always been thorough in my work... B: Being thorough is different from perfectionism. Why does it have to be perfect?,Intermediate Belief
